epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.761,1.85808,5.26391,1.5446,0.53026,0.23838,0.211,0.12584,1.64546,4.84844,1.56041,0.000332661,0.000332661,0.000332661
2,737.363,1.9296,3.42544,1.62714,0.23979,0.25993,0.19467,0.10401,1.97708,3.57615,1.82755,0.0006605,0.0006605,0.0006605
3,1113.45,1.98206,3.25469,1.65194,0.22688,0.35577,0.16667,0.06868,2.04021,6.73138,1.88624,0.000982839,0.000982839,0.000982839
4,1478.39,2.00347,3.1987,1.70767,0.39228,0.09418,0.03816,0.01672,2.19735,10.3575,2.04218,0.00097525,0.00097525,0.00097525
5,1861.13,2.02462,3.05295,1.73289,0.26172,0.29649,0.15768,0.08767,1.94553,5.3284,1.83451,0.000967,0.000967,0.000967
6,2238.16,1.96252,3.00515,1.6928,0.27447,0.33352,0.19355,0.09869,1.99226,4.12392,1.9853,0.00095875,0.00095875,0.00095875
7,2614.41,1.99779,3.02876,1.71341,0.19942,0.36094,0.14854,0.07515,2.00068,6.54973,1.89622,0.0009505,0.0009505,0.0009505
8,2983.93,1.88938,2.82897,1.6383,0.27497,0.30533,0.17775,0.08933,2.03431,6.40599,1.83026,0.00094225,0.00094225,0.00094225
9,3344.81,1.88897,2.90899,1.65446,0.47638,0.32923,0.3195,0.17281,1.9247,2.94911,1.8316,0.000934,0.000934,0.000934
10,3740.79,1.89334,2.87582,1.68487,0.27749,0.40533,0.23193,0.12349,1.78999,3.86197,1.71107,0.00092575,0.00092575,0.00092575
11,4142.01,1.86298,2.82644,1.64642,0.28057,0.3324,0.20238,0.1041,1.82051,6.54881,1.76914,0.0009175,0.0009175,0.0009175
12,4586.75,1.87478,2.8716,1.66118,0.31418,0.34316,0.23813,0.12568,1.77937,4.35429,1.69757,0.00090925,0.00090925,0.00090925
13,5045.83,1.78628,2.68124,1.57847,0.29564,0.36272,0.2348,0.1241,1.82893,6.66037,1.75656,0.000901,0.000901,0.000901
14,5503.03,1.7403,2.56662,1.57328,0.455,0.36769,0.35378,0.20028,1.80398,2.96708,1.73952,0.00089275,0.00089275,0.00089275
15,5967.95,1.80481,2.72031,1.60808,0.3409,0.36451,0.27705,0.15127,1.77986,5.53166,1.74642,0.0008845,0.0008845,0.0008845
16,6402.12,1.79044,2.60043,1.55644,0.36764,0.39508,0.31267,0.17909,1.79437,5.63001,1.75296,0.00087625,0.00087625,0.00087625
